,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
85,06-2014,"8,669,000","77,040,000","19,544,000","2,660,000","4,392,000","$89,784,000","13,011,000","14,597,000","3,422,000","$172,384,000","2,000,000","7,990,000","6,906,000","20,645,000","23,150,000","11,594,000","$82,600,000","8,239,849","68,366,000","17,710,000","3,708,000","$172,384,000",MSFT,"4,797,000","27,108,000","1,941,000",
86,03-2014,"11,572,000","76,853,000","13,497,000","1,920,000","3,740,000","$87,424,000","11,771,000","14,792,000","2,898,000","$156,119,000","2,000,000","5,377,000","4,275,000","20,679,000","17,670,000","9,953,000","$68,695,000","8,260,412","67,803,000","16,289,000","3,332,000","$156,119,000",MSFT,"3,887,000","17,652,000","1,424,000",
87,12-2013,"10,059,000","73,885,000","15,986,000","1,594,000","4,018,000","$85,100,000","11,567,000","14,607,000","2,874,000","$153,543,000","2,300,000","6,146,000","3,920,000","20,676,000","17,616,000","9,790,000","$68,443,000","8,300,724","67,476,000","14,347,000","3,277,000","$153,543,000",MSFT,"3,169,000","17,625,000","1,328,000",
88,09-2013,"4,023,000","76,649,000","11,007,000","2,613,000","3,900,000","$81,641,000","10,774,000","11,995,000","2,480,000","$142,348,000","3,300,000","5,423,000","3,625,000","12,632,000","18,585,000","9,587,000","$60,707,000","8,347,969","67,230,000","11,680,000","2,731,000","$142,348,000",MSFT,"2,856,000","17,649,000","1,258,000",
89,06-2013,"3,804,000","73,218,000","17,486,000","1,938,000","3,388,000","$78,944,000","9,991,000","10,844,000","2,392,000","$142,431,000","2,999,000","5,473,000","3,597,000","12,601,000","20,639,000","10,000,000","$63,487,000","8,329,956","67,306,000","9,895,000","1,743,000","$142,431,000",MSFT,"4,117,000","17,738,000","1,632,000",
90,03-2013,"5,240,000","69,243,000","11,991,000","2,133,000","3,241,000","$76,688,000","9,204,000","11,193,000","2,262,000","$134,105,000","2,246,000","5,096,000","3,913,000","11,949,000","16,511,000","9,721,000","$57,417,000","8,351,107","66,826,000","7,657,000","2,205,000","$134,105,000",MSFT,"3,474,000","17,922,000","1,676,000",
91,12-2012,"6,017,000","62,295,000","14,317,000","1,661,000","3,301,000","$72,576,000","8,698,000","10,707,000","1,636,000","$128,683,000","2,241,000","4,377,000","3,366,000","11,947,000","18,354,000","8,397,000","$56,107,000","8,376,245","66,334,000","4,236,000","2,006,000","$128,683,000",MSFT,"2,942,000","18,068,000","1,983,000",
92,09-2012,"5,036,000","61,608,000","9,871,000","1,624,000","3,860,000","$68,836,000","8,329,000","10,038,000","1,569,000","$121,876,000","2,236,000","4,046,000","3,312,000","9,714,000","18,295,000","8,423,000","$53,040,000","8,416,462","66,084,000","932,000","1,820,000","$121,876,000",MSFT,"2,666,000","17,889,000","2,052,000",
93,06-2012,"6,938,000","56,102,000","15,780,000","1,137,000","3,092,000","$66,363,000","8,269,000","9,776,000","1,520,000","$121,271,000","1,231,000","4,989,000","3,151,000","10,713,000","18,653,000","8,208,000","$54,908,000","8,383,396","65,797,000","-856,000","1,422,000","$121,271,000",MSFT,"3,875,000","16,622,000","2,035,000",
94,03-2012,"6,388,000","53,141,000","10,961,000","1,412,000","2,608,000","$68,659,000","8,225,000","9,068,000","1,403,000","$118,010,000",N/A,"5,000,000","3,011,000","11,938,000","13,929,000","8,525,000","$49,351,000","8,400,866","65,273,000","3,386,000",0,"$118,010,000",MSFT,"3,272,000","22,454,000","2,350,000",
95,12-2011,"10,610,000","41,126,000","13,643,000","1,351,000","3,614,000","$64,121,000","8,010,000","7,550,000","1,919,000","$112,243,000",,"4,733,000","3,057,000","11,932,000","13,985,000","8,386,000","$48,122,000","8,390,771","63,902,000","219,000",,"$112,243,000",MSFT,"2,677,000","22,251,000","2,169,000",
96,09-2011,"12,881,000","44,522,000","10,153,000","2,270,000","3,255,000","$59,391,000","8,033,000","8,576,000","1,972,000","$107,415,000",,"4,860,000","3,245,000","11,927,000","14,345,000","8,201,000","$48,024,000","8,412,183","63,492,000","-4,101,000",,"$107,415,000",MSFT,"2,388,000","13,563,000","2,190,000",
97,06-2011,"9,610,000","43,162,000","14,987,000","1,372,000","3,320,000","$57,083,000","8,162,000","10,865,000","1,434,000","$108,704,000",,"5,405,000","3,492,000","11,921,000","15,722,000","8,072,000","$51,621,000","8,378,266","63,415,000","-6,332,000",,"$108,704,000",MSFT,"3,575,000","13,325,000","2,467,000",
98,03-2011,"7,021,000","43,129,000","10,033,000","1,056,000","2,438,000","$53,452,000","7,969,000","10,748,000","1,353,000","$99,727,000",,"5,074,000","3,325,000","11,915,000","11,887,000","8,001,000","$46,275,000","8,432,767","63,234,000","-9,782,000",,"$99,727,000",MSFT,"2,917,000","13,394,000","2,586,000",
99,12-2010,"4,023,000","37,229,000","12,874,000","861,000","2,149,000","$48,481,000","7,799,000","10,022,000","1,307,000","$92,306,000",,"5,218,000","3,190,000","9,671,000","12,063,000","7,662,000","$43,825,000","8,402,382","61,646,000","-13,165,000",,"$92,306,000",MSFT,"2,402,000","13,494,000","2,548,000",
100,03-2023,"49,343,000","15,062,000","37,646,000","34,170,000",,"$154,526,000","190,754,000",,"114,654,000","$464,378,000",,"66,907,000","14,281,000","67,084,000",,"95,198,000","$309,852,000","10,260,350","108,000","86,365,000","-3,973,000","$464,378,000",AMZN,"66,382,000","22,749,000",,
101,12-2022,"53,888,000","16,138,000","42,360,000","34,405,000",,"$146,043,000","186,715,000",,"108,881,000","$462,675,000",,"79,600,000","13,227,000","67,150,000",,"94,089,000","$316,632,000","10,247,260","108,000","83,193,000","-4,487,000","$462,675,000",AMZN,"62,566,000","20,288,000",,
102,09-2022,"34,947,000","23,715,000","36,154,000","36,647,000",,"$137,489,000","177,195,000",,"99,536,000","$428,362,000",,"67,760,000","12,629,000","58,919,000",,"91,591,000","$290,873,000","10,201,650","107,000","82,915,000","-7,115,000","$428,362,000",AMZN,"59,974,000","20,168,000",,
103,06-2022,"37,478,000","23,232,000","34,804,000","38,153,000",,"$131,402,000","173,706,000",,"92,160,000","$419,728,000",,"71,219,000","12,818,000","58,053,000",,"89,982,000","$288,326,000","10,187,550","107,000","80,043,000","-4,782,000","$419,728,000",AMZN,"56,254,000","20,195,000",,
104,03-2022,"36,393,000","29,992,000","32,504,000","34,987,000",,"$134,001,000","168,468,000",,"88,194,000","$410,767,000",,"68,547,000","12,820,000","47,556,000",,"89,702,000","$276,766,000","10,174,410","5,000","82,071,000","-2,365,000","$410,767,000",AMZN,"58,141,000","20,229,000",,
105,12-2021,"36,220,000","59,829,000","32,891,000","32,640,000",,"$138,245,000","160,281,000",,"83,317,000","$420,549,000",,"78,664,000","11,827,000","48,744,000",,"91,294,000","$282,304,000","10,176,890","106,000","85,915,000","-1,376,000","$420,549,000",AMZN,"51,775,000","15,371,000",,
106,09-2021,"29,944,000","49,044,000","28,610,000","30,933,000",,"$120,564,000","147,152,000",,"81,378,000","$382,406,000",,"71,474,000","10,974,000","50,055,000",,"87,793,000","$261,842,000","10,142,950","5,000","71,592,000","-1,075,000","$382,406,000",AMZN,"41,546,000","15,345,000",,
107,06-2021,"40,380,000","49,514,000","26,835,000","24,119,000",,"$114,803,000","133,502,000",,"70,619,000","$360,319,000",,"66,090,000","10,695,000","50,279,000",,"77,445,000","$245,516,000","10,128,810","5,000","68,436,000","-525,000","$360,319,000",AMZN,"41,007,000","15,350,000",,
108,03-2021,"33,834,000","39,436,000","24,289,000","23,849,000",,"$103,320,000","121,461,000",,"64,988,000","$323,077,000",,"63,926,000","10,539,000","31,868,000",,"72,485,000","$219,757,000","10,086,470","5,000","60,658,000","-666,000","$323,077,000",AMZN,"40,939,000","15,220,000",,
109,12-2020,"42,122,000","42,274,000","24,542,000","23,795,000",,"$93,404,000","113,114,000",,"60,331,000","$321,195,000",,"72,539,000","9,708,000","31,816,000",,"69,590,000","$227,791,000","10,071,290","5,000","52,551,000","-180,000","$321,195,000",AMZN,"44,138,000","15,017,000",,
110,09-2020,"29,930,000","38,472,000","20,832,000","23,735,000",,"$82,775,000","99,981,000",,"54,269,000","$282,179,000",,"58,334,000","9,251,000","32,929,000",,"64,563,000","$199,404,000","10,035,020","5,000","45,329,000","-1,029,000","$282,179,000",AMZN,"34,327,000","14,960,000",,
111,06-2020,"37,466,000","33,925,000","19,918,000","19,599,000",,"$73,728,000","86,517,000",,"46,138,000","$258,314,000",,"51,036,000","8,997,000","33,128,000",,"57,562,000","$184,586,000","10,017,790","5,000","38,998,000","-1,455,000","$258,314,000",AMZN,"33,863,000","14,751,000",,
112,03-2020,"27,201,000","22,091,000","17,836,000","18,857,000",,"$65,272,000","77,779,000",,"42,735,000","$221,238,000",,"40,056,000","8,864,000","23,437,000",,"52,818,000","$155,966,000","9,975,520","5,000","33,755,000","-2,063,000","$221,238,000",AMZN,"30,791,000","14,739,000",,
113,12-2019,"36,092,000","18,929,000","20,816,000","20,497,000",,"$62,060,000","72,705,000",,"41,455,000","$225,248,000",,"47,183,000","8,190,000","23,414,000",,"51,962,000","$163,188,000","9,956,209","5,000","31,220,000","-986,000","$225,248,000",AMZN,"32,439,000","14,754,000",,
114,09-2019,"23,255,000","20,146,000","16,887,000","18,766,000",,"$56,508,000","67,662,000",,"37,649,000","$199,099,000",,"35,794,000","7,381,000","22,472,000",,"47,983,000","$142,591,000","9,915,944","5,000","27,952,000","-1,429,000","$199,099,000",AMZN,"28,961,000","14,734,000",,
115,06-2019,"22,616,000","18,847,000","16,747,000","18,580,000",,"$53,061,000","64,723,000",,"35,111,000","$191,351,000",,"36,063,000","7,475,000","23,329,000",,"45,283,000","$138,290,000","9,893,120","5,000","25,818,000","-960,000","$191,351,000",AMZN,"26,140,000","14,727,000",,
116,03-2019,"23,115,000","13,905,000","15,979,000","16,432,000",,"$48,410,000","61,048,000",,"32,915,000","$178,102,000",,"31,809,000","7,298,000","23,322,000",,"42,675,000","$129,692,000","9,846,636","5,000","23,193,000","-1,010,000","$178,102,000",AMZN,"24,588,000","14,708,000",,
117,12-2018,"31,750,000","9,500,000","16,677,000","17,174,000",,"$43,549,000","61,797,000",,"11,202,000","$162,648,000",,"38,192,000","6,536,000","23,495,000",,"27,213,000","$119,099,000","9,824,057","5,000","19,625,000","-1,035,000","$162,648,000",AMZN,"23,663,000","14,548,000",,
118,09-2018,"20,425,000","9,340,000","14,258,000","15,862,000",,"$39,125,000","58,019,000",,"11,238,000","$143,695,000",,"30,904,000","6,000,000","24,684,000",,"24,562,000","$104,570,000","9,779,373","5,000","16,616,000","-1,034,000","$143,695,000",AMZN,"18,420,000","14,553,000",,
119,06-2018,"19,823,000","7,227,000","12,607,000","14,824,000",,"$34,995,000","54,768,000",,"10,907,000","$134,100,000",,"27,657,000","6,004,000","24,638,000",,"23,666,000","$99,105,000","9,754,824","5,000","13,733,000","-934,000","$134,100,000",AMZN,"17,140,000","13,944,000",,
120,03-2018,"16,676,000","8,287,000","12,026,000","13,840,000",,"$31,463,000","52,331,000",,"9,814,000","$126,362,000",,"25,172,000","6,182,000","24,640,000",,"22,214,000","$94,899,000","9,704,538","5,000","11,199,000","-467,000","$126,362,000",AMZN,"16,691,000","13,388,000",,
121,12-2017,"20,522,000","10,464,000","13,164,000","16,047,000",,"$27,709,000","48,866,000",,"8,897,000","$131,310,000",,"34,616,000","5,097,000","24,743,000",,"20,975,000","$103,601,000","9,682,143","5,000","8,636,000","-484,000","$131,310,000",AMZN,"18,170,000","13,350,000",,
122,09-2017,"12,767,000","11,543,000","10,557,000","13,711,000",,"$24,658,000","45,335,000",,"8,083,000","$115,267,000",,"26,075,000","5,153,000","24,710,000",,"18,827,000","$90,609,000","9,637,444","5,000","6,779,000","-501,000","$115,267,000",AMZN,"15,844,000","13,271,000",,
123,06-2017,"13,203,000","8,248,000","8,046,000","11,510,000",,"$23,214,000","37,083,000",,"5,437,000","$87,781,000",,"21,439,000","5,065,000","7,683,000",,"16,364,000","$64,567,000","9,607,590","5,000","6,524,000","-607,000","$87,781,000",AMZN,"14,016,000","4,254,000",,
124,03-2017,"15,440,000","6,091,000","7,329,000","10,600,000",,"$21,674,000","32,632,000",,"5,054,000","$80,969,000",,"18,891,000","5,454,000","7,691,000",,"14,205,000","$59,295,000","9,559,510","5,000","6,327,000","-797,000","$80,969,000",AMZN,"13,054,000","3,823,000",,
125,12-2016,"19,334,000","6,647,000","8,339,000","11,461,000",,"$19,285,000","29,114,000",,"4,723,000","$83,402,000",,"25,309,000","4,768,000","7,694,000",,"12,607,000","$64,117,000","9,543,413","5,000","4,916,000","-985,000","$83,402,000",AMZN,"13,739,000","3,784,000",,
126,09-2016,"13,656,000","4,691,000","6,566,000","10,696,000",,"$17,782,000","27,177,000",,"4,296,000","$70,897,000",,"18,801,000","4,200,000","8,205,000",,"11,412,000","$53,115,000","9,503,330","5,000","4,167,000","-521,000","$70,897,000",AMZN,"10,497,000","3,815,000",,
127,06-2016,"12,521,000","4,019,000","6,092,000","9,588,000",,"$16,538,000","25,190,000",,"3,892,000","$65,076,000",,"16,123,000","3,851,000","8,212,000",,"10,739,000","$48,538,000","9,481,471","5,000","3,915,000","-571,000","$65,076,000",AMZN,"9,613,000","3,774,000",,
128,03-2016,"12,470,000","3,389,000","5,072,000","9,582,000",,"$14,756,000","23,308,000",,"3,522,000","$61,128,000",,"14,990,000","3,766,000","8,219,000",,"9,966,000","$46,372,000","9,436,559","5,000","3,058,000","-614,000","$61,128,000",AMZN,"9,431,000","3,785,000",,
129,12-2015,"15,890,000","3,918,000","5,654,000","10,243,000",,"$13,384,000","21,838,000",,"3,445,000","$64,747,000",,"20,397,000","3,118,000","8,227,000",,"9,249,000","$51,363,000","9,416,841","5,000","2,545,000","-723,000","$64,747,000",AMZN,"10,372,000","3,759,000",,
130,09-2015,"10,709,000","3,719,000","5,440,000","8,981,000",,"$12,430,000","20,636,000",,"3,216,000","$56,230,000",,"14,437,000","3,063,000","8,243,000",,"8,900,000","$43,800,000","9,375,240","5,000","2,063,000","-675,000","$56,230,000",AMZN,"9,157,000","3,529,000",,
131,06-2015,"10,269,000","3,732,000","4,920,000","7,470,000",,"$11,768,000","19,479,000",,"3,047,000","$52,440,000",,"12,391,000","2,562,000","8,250,000",,"8,510,000","$40,672,000","9,354,204","5,000","1,984,000","-617,000","$52,440,000",AMZN,"8,959,000","3,523,000",,
132,03-2015,"10,237,000","3,544,000","4,772,000","7,369,000",,"$10,873,000","17,736,000",,"2,926,000","$50,075,000",,"11,917,000","2,420,000","8,257,000",,"7,768,000","$39,202,000","9,313,619","5,000","1,892,000","-752,000","$50,075,000",AMZN,"8,840,000","3,491,000",,
133,12-2014,"14,557,000","2,859,000","5,612,000","8,299,000",,"$10,741,000","16,967,000",,"2,892,000","$54,505,000",,"16,459,000","1,823,000","8,265,000",,"7,410,000","$43,764,000","9,287,679","5,000","1,949,000","-511,000","$54,505,000",AMZN,"9,807,000","3,319,000",,
134,09-2014,"5,258,000","1,625,000","4,373,000","7,316,000",,"$10,336,000","15,702,000",,"2,813,000","$40,419,000",,"11,811,000","1,814,000","3,099,000",,"6,142,000","$30,083,000","9,260,129","5,000","1,735,000","-394,000","$40,419,000",AMZN,"7,217,000","3,332,000",,
135,06-2014,"5,057,000","2,929,000","4,125,000","6,644,000",,"$10,602,000","14,089,000",,"2,377,000","$37,898,000",,"10,457,000","1,606,000","3,119,000",,"5,426,000","$27,296,000","9,240,722","5,000","2,172,000","-143,000","$37,898,000",AMZN,"6,688,000","2,677,000",N/A,
136,03-2014,"5,074,000","3,592,000","3,945,000","6,716,000",,"$10,328,000","12,267,000",,"2,117,000","$36,364,000",,"10,590,000","1,516,000","3,147,000",,"4,532,000","$26,036,000","9,203,347","5,000","2,298,000","-157,000","$36,364,000",AMZN,"6,251,000","2,653,000",N/A,
137,12-2013,"8,658,000","3,789,000","4,767,000","7,411,000",,"$9,746,000","10,949,000",,"1,930,000","$40,159,000",,"15,133,000","1,159,000","3,191,000",,"4,242,000","$30,413,000","9,185,291","5,000","2,190,000","-185,000","$40,159,000",AMZN,"6,688,000","2,655,000",N/A,
138,09-2013,"3,872,000","3,817,000","3,057,000","6,068,000",,"$9,087,000","9,991,000",,"1,901,000","$31,861,000",,"10,037,000",N/A,"3,043,000",,"3,596,000","$22,774,000","9,154,673","5,000","1,950,000","-206,000","$31,861,000",AMZN,"6,098,000","2,635,000","520,000",
139,06-2013,"3,704,000","3,759,000","2,861,000","5,420,000",,"$8,733,000","8,789,000",,"1,935,000","$29,623,000",,"8,990,000",N/A,"3,042,000",,"3,113,000","$20,890,000","9,137,670","5,000","1,991,000","-319,000","$29,623,000",AMZN,"5,745,000","2,614,000","541,000",
140,03-2013,"4,481,000","3,414,000","2,516,000","5,395,000",,"$8,432,000","7,674,000",,"1,855,000","$28,377,000",,"8,916,000",N/A,"3,040,000",,"2,573,000","$19,945,000","9,104,854","5,000","1,998,000","-319,000","$28,377,000",AMZN,"5,416,000","2,535,000","507,000",
141,12-2012,"8,084,000","3,364,000","3,817,000","6,031,000",,"$8,192,000","7,060,000",,"1,647,000","$32,555,000",,"13,318,000","792,000","3,084,000",,"2,277,000","$24,363,000","9,091,022","5,000","1,916,000","-239,000","$32,555,000",AMZN,"4,892,000","2,552,000",N/A,
142,09-2012,"2,980,000","2,268,000","2,392,000","5,065,000",,"$7,553,000","5,662,000",,"1,514,000","$22,834,000",,"8,369,000",N/A,"2,676,000",,0,"$15,281,000","9,059,170","5,000","1,818,000","-296,000","$22,834,000",AMZN,"4,236,000","2,540,000","413,000",
143,06-2012,"2,335,000","2,635,000","2,035,000","4,380,000",,"$7,505,000","5,097,000",,"1,611,000","$21,022,000",,"7,072,000",N/A,"2,553,000",,0,"$13,517,000","9,041,305","5,000","2,092,000","-328,000","$21,022,000",AMZN,"3,892,000","2,521,000","408,000",
144,03-2012,"2,288,000","3,427,000","1,813,000","4,255,000",,"$7,271,000","4,653,000",,"1,562,000","$20,339,000",,"6,886,000",N/A,"2,580,000",,0,"$13,068,000","9,010,510","5,000","2,085,000","-174,000","$20,339,000",AMZN,"3,602,000","1,970,000","371,000",
