,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
2299,12-2018,"316,000",,"2,133,000",,"8,000","$2,225,000","1,956,000","732,000","883,000","$23,696,000","833,000","767,000","2,529,000","8,514,000",,"5,304,000","$21,471,000","339,669","5,000","8,982,000","-391,000","$23,696,000",MAR,"2,308,000","17,419,000",,
2300,09-2018,"373,000",,"2,175,000",,"13,000","$2,324,000","1,967,000","689,000","904,000","$23,833,000","617,000","759,000","2,305,000","8,710,000",,"5,565,000","$21,509,000","341,130","5,000","8,705,000","-309,000","$23,833,000",MAR,"2,370,000","17,470,000",,
2301,06-2018,"366,000",,"2,174,000",,"13,000","$2,841,000","1,958,000","638,000","888,000","$23,844,000","616,000","834,000","2,177,000","8,375,000",,"5,512,000","$21,003,000","346,988","5,000","8,363,000","-244,000","$23,844,000",MAR,"2,277,000","17,543,000",,
2302,03-2018,"701,000",,"2,098,000",,"121,000","$3,566,000","1,791,000","754,000","923,000","$24,484,000","988,000","766,000","2,238,000","7,858,000",,"5,312,000","$20,918,000","353,355","5,000","7,898,000","141,000","$24,484,000",MAR,"2,477,000","17,864,000",,
2303,12-2017,"383,000",,"1,973,000",,"149,000","$3,582,000","1,793,000","734,000","828,000","$23,846,000","398,000","783,000","2,121,000","7,840,000",,"5,429,000","$20,264,000","357,437","5,000","7,242,000","-17,000","$23,846,000",MAR,"2,505,000","17,751,000",,
2304,09-2017,"508,000",,"1,914,000",,"297,000","$4,512,000","1,894,000","720,000","738,000","$24,236,000","398,000","733,000","1,959,000","8,271,000",,"4,918,000","$19,724,000","364,581","5,000","7,310,000","-49,000","$24,236,000",MAR,"2,518,000","17,940,000",,
2305,06-2017,"498,000",,"1,804,000",,"285,000","$4,901,000","2,102,000","762,000","836,000","$23,881,000","402,000","650,000","1,948,000","7,911,000",,"4,712,000","$18,980,000","372,420","5,000","7,040,000","-156,000","$23,881,000",MAR,"2,363,000","17,351,000",,
2306,03-2017,"738,000",,"1,752,000",,"400,000","$5,168,000","2,109,000","745,000","825,000","$23,925,000","309,000","661,000","1,948,000","8,161,000",,"4,482,000","$18,757,000","378,891","5,000","6,750,000","-312,000","$23,925,000",MAR,"2,305,000","17,125,000",,
2307,12-2016,"858,000",,"1,695,000",,"588,000","$5,357,000","2,335,000","728,000","838,000","$24,140,000","309,000","687,000","1,866,000","8,197,000",,"4,419,000","$18,783,000","383,561","5,000","6,501,000","-497,000","$24,140,000",MAR,"2,285,000","16,868,000",,
2308,09-2016,"1,078,000",,"1,705,000",,"836,000","$5,841,000","2,411,000","830,000","751,000","$25,002,000","316,000","667,000","1,860,000","8,506,000",,"4,118,000","$19,161,000","390,480","5,000","6,375,000","-169,000","$25,002,000",MAR,"2,386,000","17,223,000",,
